Time (s),x,y,z
5373.644,0.155487024,-0.32836316,0.435745322
5386.066,0.155578192,-0.32829434,0.435076642
5398.48,0.155373064,-0.32847786,0.437266569
5410.894,0.155395856,-0.32856962,0.438470193
5423.316,0.155418648,-0.32852374,0.438603929
5435.722,0.155395856,-0.32843198,0.43698238
5448.144,0.155418648,-0.32840904,0.436882078
5460.558,0.15544144,-0.3283861,0.436246832
5472.972,0.155373064,-0.3283861,0.436865361
5485.394,0.155532608,-0.3283861,0.435879058
5497.8,0.155623776,-0.32831728,0.434825887
5510.222,0.155578192,-0.32836316,0.435879058
5522.636,0.155532608,-0.32836316,0.435996077
5535.058,0.155737736,-0.32820258,0.433020451
5547.472,0.155737736,-0.32820258,0.432953583
5559.886,0.15589728,-0.32811082,0.431566072
5572.3,0.15578332,-0.32824846,0.4329703
5584.722,0.155874488,-0.3282714,0.432585809
5597.136,0.155760528,-0.32843198,0.434725585
5609.55,0.155464232,-0.32879902,0.439506647
5621.964,0.155259104,-0.3289596,0.442933632
5634.378,0.155259104,-0.32882196,0.442030914
5646.8,0.155509816,-0.3286155,0.439055288
5659.214,0.155373064,-0.32870726,0.439840987
5671.628,0.15521352,-0.32879902,0.441195064
5684.05,0.155304688,-0.32870726,0.440442799
5696.464,0.155646568,-0.32845492,0.43648087
5708.878,0.155874488,-0.32834022,0.433572112
5721.292,0.155920072,-0.32834022,0.433187621
5733.714,0.155920072,-0.32836316,0.433672414
5746.128,0.155942864,-0.3283861,0.433605546
5758.542,0.15601124,-0.32834022,0.433354791
5770.956,0.155965656,-0.32854668,0.435344114
5783.37,0.155920072,-0.32852374,0.435243812
5795.792,0.155874488,-0.32847786,0.435176944
5808.206,0.155874488,-0.32845492,0.434675434
5820.62,0.15566936,-0.32856962,0.436380568
5833.035,0.155806112,-0.32836316,0.434341094
5845.456,0.15601124,-0.32820258,0.431566072
5857.87,0.1561252,-0.32806494,0.429526598
5870.285,0.156079616,-0.32808788,0.429777353
5882.699,0.1561252,-0.3281567,0.430479467
5895.113,0.156079616,-0.32834022,0.432418639
5907.527,0.156193576,-0.3281567,0.430011391
5919.949,0.15635312,-0.32808788,0.428941503
5932.363,0.15635312,-0.32808788,0.428824484
5944.777,0.156261952,-0.32806494,0.428674031
5957.199,0.15646708,-0.32790436,0.426584406
5969.613,0.156261952,-0.3281567,0.428974937
5982.027,0.156056824,-0.32847786,0.433204338
5994.441,0.155920072,-0.3285008,0.434725585
6006.855,0.156034032,-0.32831728,0.432853281
6019.277,0.156216368,-0.3282714,0.431482487
6031.691,0.156056824,-0.32829434,0.431649657
6044.105,0.156261952,-0.32834022,0.431231732
6056.527,0.156216368,-0.32824846,0.431097996
6068.941,0.156284744,-0.32834022,0.431515921
6081.355,0.155942864,-0.3283861,0.432903432
6093.769,0.156056824,-0.3282714,0.432034148
6106.191,0.156056824,-0.32836316,0.432335054
6118.605,0.155874488,-0.3283861,0.433488527
6131.019,0.156056824,-0.32829434,0.431950563
6143.456,0.156307536,-0.32831728,0.431549355
6155.855,0.156193576,-0.3283861,0.432167884
6168.269,0.156147992,-0.32834022,0.432251469
6180.683,0.156261952,-0.32822552,0.430997694
6193.097,0.156558248,-0.32836316,0.430997694
6205.519,0.15658104,-0.32829434,0.430763656
6217.933,0.156535456,-0.32829434,0.430362448
6230.347,0.156512664,-0.32831728,0.430763656
6242.761,0.15635312,-0.32859256,0.433438376
6255.183,0.156421496,-0.32829434,0.431265166
6267.597,0.15635312,-0.32824846,0.430512901
6280.011,0.156649416,-0.32813376,0.428757616
6292.425,0.15658104,-0.32813376,0.428908069
6304.839,0.156740584,-0.3281567,0.428406559
6317.261,0.156512664,-0.3282714,0.430078259
6329.675,0.156626624,-0.3283861,0.431281883
6342.089,0.15680896,-0.32811082,0.427838181
6354.503,0.156695,-0.32811082,0.428005351
6366.917,0.156740584,-0.328042,0.427035765
6379.339,0.156786168,-0.32801906,0.426400519
6391.753,0.157105256,-0.32765202,0.42176991
6404.167,0.157105256,-0.32767496,0.421201532
6416.589,0.157128048,-0.32778966,0.421669608
6428.995,0.157059672,-0.32783554,0.422973534
6441.417,0.156877336,-0.3279273,0.424260743
6453.831,0.156763376,-0.32799612,0.426300217
6466.245,0.156854544,-0.32778966,0.423642214
6478.667,0.156968504,-0.32767496,0.421652891
6491.081,0.157059672,-0.32756026,0.419797304
6503.495,0.157059672,-0.32760614,0.420064776
6515.917,0.156717792,-0.32765202,0.421686325
6528.331,0.156854544,-0.32762908,0.421686325
6540.745,0.156854544,-0.32760614,0.421034362
6553.16,0.156695,-0.32756026,0.421318551
6565.574,0.156672208,-0.32774378,0.423391459
6577.995,0.156649416,-0.32762908,0.422488741
6590.41,0.156740584,-0.3275832,0.421636174
6602.824,0.156968504,-0.32744556,0.419195492
6615.238,0.156877336,-0.32739968,0.418225906
6627.652,0.15692292,-0.32751438,0.419329228
6640.074,0.156968504,-0.32742262,0.418309491
6652.488,0.15692292,-0.32749144,0.418978171
6664.902,0.156900128,-0.3275832,0.420282097
6677.324,0.15692292,-0.32749144,0.41976387
6689.73,0.15692292,-0.3275832,0.420315531
6702.152,0.156649416,-0.32760614,0.421636174
6714.566,0.156649416,-0.32767496,0.422371722
6726.98,0.156945712,-0.32739968,0.418794284
6739.402,0.157082464,-0.32742262,0.418192472
6751.808,0.156968504,-0.32737674,0.417891566
6764.23,0.156717792,-0.3274685,0.419128624
6776.644,0.156603832,-0.32756026,0.420984211
6789.066,0.156649416,-0.32774378,0.42277293
6801.48,0.156626624,-0.3278126,0.424093573
6813.894,0.156672208,-0.32765202,0.422171118
